iter	Passed	Remaining
0	368	368223
1	450	224991
2	526	17495633	583	14529944	757	150662
5	830	13760166	923	13102077	1029	127608	8	9	1017	1009	9	1295	128251010	1446	130011111	1665	137106
12	1888	143387
13	1987	139993
14	2073	136191
15	2174	133756
16	2321	134243
17	2376	129650
18	2472	127670
19	2527	123831
20	2660	124032
21	2677	119037222	2802	119039
23	3065	124670224	3133	12221926	3081	1110426	3395	122375
27	3584	124432
28	3715	124417
29	3851	124543
30	3895	121750
31	4066	123025
32	4080	119568
3334	3961	1092234	4238	116856
3536	4154	108127
37	4267	108023738	4383	108006
39	4537	108893
40	4700	109952
41	4738	108084
42	4822	107335
43	4876	105962
44	4972	105519
45	5031	104354546	5118	103781447	5333	105787
48	5529	107317
49	5611	106613
50	5758	107148
51	5848	106627
52	6091	108848
53	6229	109138
54	6454	110892
55	6469	109054
56	6651	110046
57	6679	108483
58	6698	106839
59	6780	106222
60	6861	105620
61	6946	105093
62	6992	104006
63	7170	104865
64	7266	104526
65	7345	103954
66	7485	104232
67	7546	103430
68	7761	104720
69	7846	104245
70	7899	103355
71	7972	102756
72	8075	102553
73	8104	101416
74	8240	101636
75	8346	101473
76	8565	102670
77	8608	101758
78	8696	101384
79	8706	100129
80	8949	101533
81	9188	102861
82	9367	103497
83	9562	104282
84	9657	103962
85	9789	104040
86	9835	103217
87	10030	103950
88	10074	103121
89	10149	102624
90	10234	102235
91	10308	101737
92	10376	10120293	10651	102664
994	10617	101146995	10680	10057896	10843	100946
97	10760	99040
998	11102	101049999	11148	1003100100	11302	100101	101	11376	10102	1102	11469	9103	11481	98921
104	1104	11716	9105	1105	11810	9106	11797	98456
107	11894	98237
108	11913	97381
109	12072	97681
110	12222	97893
111	12323	97708
112	12342	96883
113	12499	97146
114	12558	96647
115	12618	96164
116	1116	12909	97429
117	13011	97258
118	13035	96507
119	13076	9120	12983	94320
121	13127	94477
122	13404	95574
123	13431	94885
124	13544	94814
125	13729	95236
126	13773	94677
127	13926	94873
128	13940	94122
129	14117	94477
130	14149	93865
131	14207	93422
132	14315	93321
133	14419	93190
134	14529	93095
135	14570	92567
136	14697	92585
137	14873	92907
138	14891	92239
139	14964	91927
140	15061	91758
141	15105	91271
142	15287	91620
143	15340	91190
144	15453	91120
145	15461	90440
146	15470	89772
147	15528	89396
148	1148	15738	8149	15747	89236
150	1150	16083	90429
151	16209	90429
152	16466	91157
153	16505	90672
154	16561	90289
155	16705	90382
156	16758	89982
157	16770	89370
158	16890	89340
159	16906	88759
160	16946	88310
161	17048	881901162	17234	88497
163	17465	89030
164	17490	88511
165	17664	88747
166	17729	88434
167	17738	87846
168	17817	87613
169	17849	87145
170	17886	8171	117178	18306	83964
179	18346	83176	180	18478	83613
181	18546	83178	18686	85707
179	183	18851	83180	184	18919	83346
185	19069	83455
186	19151	8186	1187	19229	8187	1188	19474	8188	1189	19521	8189	19543	83319
190	1191	19709	8191	1192	19806186	196193	19946181190	20085	85072
191	20168	84877
192	20285	84820196	2197	20409	82668
198	20436	8198	20424	82213
1196	20651	84178
197	20877	84566
198	20970	844196199	21077	843197	20919	84734
198201	21206	837199	21079	84318
200203	21533	840201	21482	84864
202	21585	84746
203206	21873	837204	21787	84493
205208	22107	836206	21976	84190
207	22172	84427
208	22365	84647
209	22427	84369
210	22516	84198
211	22651	84195
212	22810	84281
213	22983	84417
214	22999	83975
215	23187	84161
216	23238	83852
217	23367	83821
218	23483	83745
219	23656	83874
220	23712	83584
221	23759	83264
222	23850	83100
223	23971	83045
224	24095	82994
225	24284	83167
226	24392	83064
227	24455	82805
228	24539	82621
229	24578	82283
230	24687	82183
231	24708	81793
232	24849	81801
233	24953	81686
234	25086	81663
235	25209	81610
236	25290	81421
237	25336	81119
238	25506	81215
239	25570	80972
240	25659	80813
241	25883	81072
242	25938	80804
243	25993	80536
244	26060	80308
245	26132	80096
246	26271	80091
247	26331	79842
248	26417	79677
249	26472	79416
250	26541	79200
251	26623	79025
252	26685	78790
253	26699	78416
254	26733	78104
255	26937	78288
256	26989	78027
257	26998	77646
258	27005	77263
259	27138	77241
260	27250	77157
261	27337	77003
262	27532	77154
263	27620	77003
264	27680	76773
265	27806	76728
266	27906	76611
267	27928	76282
268	28133	76451
269	28329	76594
270	28459	76558
271	28620	76602
272	28667	76342
273	28793	76291
274	28856	76075
275	28902	75815
276	28957	75582
277	28974	75250
278	28996	74933
279	290286	29338280	29249	74841
281	29320	74651
282	29455	74627
283	29547	74492
284	29590	74237
285	29629	73969
286	29837	74124
287	29943	74026
288	30032	73885
289	30154	73825
290	301297	30507	71867
298	30873	72383
299	30965	72252
300	31099	72221
301	31206	72126
302	31424	72286
303	31520	72165
304	31631298	314305	31779	72076
306	31792300	31785	73813
301	31867	73655
302	31927	73443
303	32043	73362
304	32169	73305
305	32264	73174
306	32414	73170
307	32536	73100
308	32661	73039
309	327312	33054	72550
313	33209	72553
314	33358	72540
315	33475	72460
316	33679	72564
317	33837	72569
318	33893	72354
319	34128	72523
320	34233	72413
321	34370	72369
322	34461	72231
323	34507	71996
324	34551	71761
325	34917	72190
326	35097	72234
327	35188	72092
328	35331	72058
329	35367	71806
330	35455	71660
331	35628	71686
332	35740	71588
333	35800	71386
334	36011	71486
335	36144	71429
336	36209	71237
337	36271	71040
338	36446	71065
339	36576	71001
340	36621	70772
341	36660	70534
342	36704	70305
343	36835	70244
344	37000	70248
345	37163	70246
346	37251	70102
347	37279	69845
348	37307	69591
349	37426	69505
350	37504	69345
351	37631	69277
352	37710	69118
353	37849	69070
354	37912	68883
355	38000	68742
356	38049	68531
357	38076	68282
358	38157	68131
359	38282	68058
360	38315	67821
361	38464	67790
362	38496	67553
363	38656	67542
364	38716	67356
365	38769	67157
366	38883	67065
367	38910	66824
368	38961	66624
369	39024	66446
370	39102	66294
371	39111	66026
372	39200	65373	373	39426	65374	374	39506	65375	375	39530	65376	39642	65510
377	39770	65442
378	39984	65514
379	39999	65262
380	40111	65167
381	40250	65116
382	40299	64920
383	40364	64751
384	40458	64628
385	385	40536	64386	386	40745	64539
387	40891	64499
388	40997	64395
389	41072	64390	390	41157	64104
391	41235	63956
392	41314	63393	393	41544	63394	394	41679	63395	395	41827	63396	396	42025	63397	397	42135	63398	398	42254	63399	399	42318	63400	400	42430	63380
401	42490	63207
402	42630	63151
403	42699	62404	404	42849	62405	405	42947	62833
406	43146	62864
407	43324	62863
408	43376	62679
409	43470	62555
410	43575	62447
411	43616	62248
412	43653	62044
413	43705	61863
418	43759	60678
419	43854	60416	416	43968	61471
421	44080	60376
422	44207	60302
419	44322	61207
420	44428	61421	421	44519	60422	44617	60861
423	44661	60672
424	44826	60646
425	45085	60749
426	45180	60628
427	45274	60506
428	45503	60565
429	45597	60443
430	45755	60405
431	45847	60281
432	45945	60164
433	46054	60062
434	46179	59980
435	46283	59870
436	46387	59762
437	46504	59670
438	46561	59501
439	46604	59315
440	46749	59258
441	46931	59247
442	46941	59020
443	46985	58837
444	47020	58643
445	449	47049	57446	450	47131	57373
451	47173	57192
452	47296	57111
453	47413	57021
454	47434	56817
455	47706	56912
456	47814	56812
457	47850	56626
458	47905	56455	48018	57284
456	48154	57215
457	461	48259	56458	48438	57092
459	48582	57032
460	464	48648	55461	465	48742	55462	466	48859	55463	49121	56743
464	49202	56609
465	49298	56492
466	49319	56290
467	49429	56189
468	49572	56125
469	49594	55925
470	49606	55715
471	49690	55585
472	49754	55435
473	49868	55339
474	478	50017	54475	50200	55263
476	50245	55091
477	50473	55119
478	50686	55130
479	50818	55053
480	51190	55234
481	51512	55360
482	51649	55285
483	51743	55164
484	51775	54977
485	51836	54822
486	52045	54823
487	52114	54677
488	52175	54522
489	52240	54372
490	52343	54262
491	52367	54070
492	52509	54000
493	52596	53874
494	52735	53800
495	52777	53628
496	52873	53511
497	53304	53732
498	53352	53566
499	53432	53432
500	53633	53419
501	53657	53229
502	53892	53249
503	53952	53096
504	53962	52894
505	54021	52740
506	54092	52598
507	54143	52438
508	54281	52362
509	54346	52215
510	54528	52181
511	54543	51987
512	54628	51859
513	54771	51787
514	54834	51640
515	54958	51549
516	55013	51396
517	55081	51253
518	55176	51136
519	55319	51064
520	55408	50941
521	55614	50926
522	55724	50823
523	55772	50663
524	55938	50611
525	55946	50415
526	56152	50398
527	56335	50360
528	56451	50261
529	56486	50092
530	56519	49920
531	56660	49844
532	56706	49684
533	56773	49543
534	56838	49401
535	56923	49277
536	56997	49143
537	57290	49197
538	57337	49039
539	57361	48863
540	57520	48802
541	57559	48639
542	57569	48451
543	57817	48465
544	57885	48326
545	58006	48232
546	58188	48189
547	58406	48174
548	58481	48042
549	58566	47918
550	58788	47906
551	58963	47854
552	59005	47695
553	59128	47601
554	59201	47467
555	59239	47306
556	59392	47236
557	59682	47275
558	59690	47090
559	59830	47009
560	59862	46844
561	60059	46808
562	60132	46674
563	60169	46513
564	60302	46427
565	60469	46367
566	60655	46320
567	60742	46198
568	60873	46110
569	60957	45985
570	61208	45986
571	61339	45897
572	61496	45826
573	61507	45648
574	61709	45611
575	61716	45430
576	61769	45283
577	61919	45207
578	61985	45070
579	62064	44942
580	62112	44793
581	62252	44710
582	62350	44597
583	62378	44433
584	62525	44355
585	62645	44258
586	62786	44175
587	62863	44047
588	63021	43975
589	63121	43864
590	63272	43787
591	63389	43687
592	63593	43646
593	63624	43487
594	63799	43426
595	63899	43314
596	64014	43212
597	64051	43057
598	64069	42891
599	64131	42754
600	64165	42598
601	64295	42507
602	64321	42347
603	64436	42246
604	64484	42101
605	64559	41974
606	64646	41855
607	64712	41722
608	64774	41587
609	64874	41477
610	64910	41326
611	65039	41234
612	65123	41114
613	65275	41036
614	65300	40879
615	65432	40789
616	65470	40640
617	65752	40643
618	65917	40573
619	66018	40462
620	66157	40376
621	66310	40298
622	66377	40167
623	66497	40068
624	66667	40000
625	66707	39853
626	67007	39862
627	67097	39745
628	67273	39679
629	67456	39617
630	67497	39471
631	67669	39402
632	67744	39277
633	67954	39229
634	68141	39167
635	68221	39044
636	68374	38963
637	68420	38821
638	68445	38667
639	68545	38556
640	68754	38506
641	68976	38463
642	69233	38438
643	69305	38311
644	69422	38209
645	69702	38196
646	69752	38056
647	69847	37941
648	69938	37825
649	69978	37680
650	70082	37571
651	70105	37418
652	70124	37263
653	70258	37170
654	70364	37062
655	70460	36948
656	70521	36817
657	70564	36676
658	70659	36562
659	70678	36410
660	70848	36335
661	71071	36287
662	71207	36194
663	71309	36084
664	71389	35963
665	71600	35907
666	71754	35823
667	71835	35702
668	71842	35545
669	71881	35404
670	72002	35303
671	72129	35206
672	72254	35107
673	72374	35005
674	72552	34932
675	72734	34860
676	72813	34739
677	73026	34682
678	73136	34575
679	73195	34445
680	73307	34339
681	73330	34192
682	73487	34107
683	73645	34023
684	73667	33876
685	73684	33727
686	73781	33615
687	73824	33478
688	73839	33329
689	73929	33214
690	73995	33089
691	74120	32989
692	74233	32885
693	74291	32756
694	74366	32635
695	74406	32499
696	74768	32503
697	74808	32366
698	74910	32257
699	74917	32107
700	75144	32051
701	75268	31951
702	75395	31852
703	75505	31746
704	75517	31599
705	75688	31519
706	75854	31436
707	76062	31370
708	76228	31287
709	76480	31238
710	76629	31147
711	76788	31060
712	76824	30923
713	76859	30786
714	76961	30676
715	76980	30534
716	77191	30467
717	77297	30358
718	77306	30212
719	77358	30083
720	77447	29969
721	77466	29827
722	77525	29702
723	77578	29574
724	77598	29433
725	77652	29306
726	77687	29172
727	77774	29058
728	77793	28919
729	77844	28791
730	77860	28651
731	78025	28566
732	78064	28435
733	78216	28345
734	78252	28213
735	78451	28140
736	78643	28064
737	78715	27945
738	78828	27840
739	78898	27720
740	79135	27659
741	79180	27531
742	79190	27391
743	79438	27333
744	79468	27200
745	79533	27079
746	79582	26953
747	79800	26884
748	79867	26764
749	80006	26668
750	80119	26564
751	80200	26448
752	80335	26351
753	80470	26254
754	80689	26184
755	80711	26049
756	80763	25925
757	80806	25798
758	80840	25668
759	80975	25571
760	80995	25437
761	81018	25304
762	81148	25205
763	81233	25093
764	81360	24992
765	81395	24865
766	81432	24737
767	81523	24626
768	81597	24510
769	81734	24414
770	81748	24280
771	82015	24222
772	82181	24133
773	82249	24015
774	82299	23893
775	82447	23799
776	82558	23694
777	82697	23597
778	82954	23533
779	83036	23420
780	83074	23294
781	83152	23180
782	83272	23077
783	83425	22984
784	83536	22879
785	83709	22791
786	83800	22680
787	84048	22611
788	84238	22527
789	84374	22428
790	84549	22339
791	84666	22235
792	84818	22140
793	84861	22016
794	84939	21902
795	85141	21820
796	85196	21699
797	85525	21649
798	85557	21523
799	85742	21435
800	85845	21327
801	85877	21201
802	86002	21098
803	86106	20991
804	86268	20897
805	86440	20805
806	86613	20714
807	86786	20622
808	86795	20491
809	86814	20363
810	86927	20258
811	87019	20147
812	87247	20067
813	87302	19948
814	87361	19830
815	87527	19736
816	87620	19626
817	87635	19498
818	87670	19375
819	87777	19268
820	87941	19173
821	88126	19083
822	88290	18988
823	88343	18869
824	88395	18750
825	88511	18645
826	88587	18531
827	88621	18409
828	88783	18313
829	88926	18213
830	89094	18119
831	89210	18013
832	89299	17902
833	89333	17781
834	89418	17669
835	89547	17566
836	89567	17442
837	89663	17333
838	89684	17209
839	89798	17104
840	89833	16983
841	89945	16878
842	90014	16764
843	90100	16653
844	90269	16558
845	90319	16441
846	90329	16316
847	90355	16195
848	90418	16081
849	90501	15970
850	90781	15894
851	90812	15774
852	90833	15653
853	90977	15553
854	91063	15443
855	91246	15349
856	91318	15237
857	91398	15126
858	91461	15012
859	91574	14907
860	91657	14797
861	91696	14680
862	91810	14574
863	91907	14466
864	92093	14372
865	92148	14258
866	92297	14158
867	92412	14053
868	92538	13949
869	92613	13838
870	92729	13733
871	92785	13619
872	92850	13507
873	92862	13387
874	92870	13267
875	92892	13149
876	92910	13030
877	92925	12912
878	92984	12799
879	93013	12683
880	93071	12571
881	93255	12476
882	93301	12362
883	93334	12247
884	93501	12149
885	93566	12039
886	93615	11926
887	93663	11813
888	93682	11697
889	93787	11591
890	93860	11482
891	94022	11383
892	94070	11271
893	94115	11159
894	94151	11045
895	94219	10936
896	94271	10824
897	94311	10712
898	94407	10606
899	94490	10498
900	94616	10396
901	94647	10283
902	94660	10168
903	94826	10070
904	94885	9960
905	94985	9854
906	95081	9749
907	95131	9638
908	95244	9534
909	95271	9422
910	95353	9315
911	95456	9210
912	95508	9101
913	95605	8995
914	95656	8886
915	95685	8774
916	95862	8676
917	95964	8571
918	96005	8461
919	96083	8355
920	96200	8251
921	96262	8143
922	96401	8042
923	96534	7940
924	96757	7845
925	96896	7743
926	96962	7635
927	96979	7524
928	97055	7417
929	97130	7310
930	97203	7204
931	97231	7094
932	97337	6989
933	97397	6882
934	97462	6775
935	97539	6669
936	97683	6567
937	97846	6467
938	97970	6364
939	98050	6258
940	98114	6151
941	98361	6056
942	98466	5951
943	98485	5842
944	98526	5734
945	98554	5625
946	98609	5518
947	98655	5411
948	98781	5308
949	98918	5206
950	98979	5099
951	99092	4996
952	99126	4888
953	99210	4783
954	99223	4675
955	99280	4569
956	99390	4465
957	99481	4361
958	99523	4254
959	99571	4148
960	99586	4041
961	99595	3934
962	99674	3829
963	99699	3723
964	99777	3618
965	99837	3513
966	99854	3407
967	99868	3301
968	99912	3196
969	99993	3092
970	100040	2987
971	100073	2882
972	100092	2777
973	100110	2672
974	100142	2567
975	100219	2464
976	100297	2361
977	100311	2256
978	100324	2151
979	100330	2047
980	100344	1943
981	100354	1839
982	100368	1735
983	100375	1632
984	100389	1528
985	100394	1425
986	100398	1322
987	100403	1219
988	100408	1116
989	100412	1014
990	100427	912
991	100441	810
992	100446	708
993	100452	606
994	100499	505
995	100505	403
996	100511	302
997	100516	201
998	100520	100
999	100524	0

999	99622	0
